Číslo přejezdu železniční	Název definičního úseku 	Žkm přejezdu	Přejezd s trolejovým vedením	Třída pozemní komunikace	Číslo pozemní komunikace	Místní název přejezdu	Zeměpisná šířka	Zeměpisná délka
P1088	České Velenice - Nové Hrady	173,793	Ano	O		"\""u Nakolického rybníku\"""	48° 48' 26.19724'' N	14° 50' 40.45862'' E
P1089	České Velenice - Nové Hrady	174,803	Ano	O		"\""u Papouška\"""	48° 48' 47.43897'' N	14° 50' 04.67667'' E
P1090	České Velenice - Nové Hrady	175,342	Ano	O			48° 48' 48.14635'' N	14° 49' 38.33184'' E
P1091	České Velenice - Nové Hrady	176,518	Ano	O		před žst.Nové Hrady	48° 49' 14.19738'' N	14° 48' 57.47016'' E
P1092	Nové Hrady - Jílovice	177,464	Ano	II.	154	Jakule,za žst.Nové Hrady	48° 49' 27.75391'' N	14° 48' 16.03409'' E
P1093	Nové Hrady - Jílovice	178,566	Ano	O		"\""u Dobré vody\""\""Tomkův mlýn\"""	48° 49' 48.25726'' N	14° 47' 33.04829'' E
P1094	Nové Hrady - Jílovice	179,347	Ano	O		"\""Karlov\"""	48° 50' 03.10098'' N	14° 47' 02.66494'' E
P1095	Nové Hrady - Jílovice	181,072	Ano	O		"\""Fialova rampa\"""	48° 50' 31.86710'' N	14° 45' 51.08359'' E
P1096	Nové Hrady - Jílovice	181,878	Ano	III.	15431	zast.Petříkov	48° 50' 45.85673'' N	14° 45' 17.73770'' E
P1097	Nové Hrady - Jílovice	182,15	Ano	O		v obci Petříkov	48° 50' 51.05691'' N	14° 45' 07.04067'' E
P1098	Nové Hrady - Jílovice	182,993	Ano	O			48° 51' 05.95220'' N	14° 44' 32.51455'' E
P1099	Nové Hrady - Jílovice	183,743	Ano	O			48° 51' 23.39645'' N	14° 44' 08.05835'' E
P1100	Nové Hrady - Jílovice	184,671	Ano	O			48° 51' 47.51124'' N	14° 43' 41.11006'' E
P1101	Nové Hrady - Jílovice	185,427	Ano	O			48° 52' 05.82733'' N	14° 43' 16.56515'' E
P1102	Nové Hrady - Jílovice	186,634	Ano	O		žst.Jílovice(čvel.zhlaví)	48° 52' 31.25319'' N	14° 42' 31.90881'' E
P1103	Jílovice - Borovany	187,352	Ano	III.	15428	žst.Jílovice(čb.zhlaví)	48° 52' 45.08685'' N	14° 42' 03.60421'' E
P1104	Jílovice - Borovany	188,085	Ano	O			48° 52' 59.22854'' N	14° 41' 34.73707'' E
P1105	Jílovice - Borovany	189,131	Ano	O			48° 53' 18.92661'' N	14° 40' 52.99782'' E
P1106	Jílovice - Borovany	190,167	Ano	III.	15517	zastávka Hluboká u Borovan	48° 53' 46.36829'' N	14° 40' 31.27062'' E
P1107	Jílovice - Borovany	191,85	Ano	III.	15517		48° 53' 52.27828'' N	14° 39' 27.40153'' E
P1108	žst. Borovany	193,92	Ano	O		žst.Borovany	48° 53' 31.71193'' N	14° 38' 12.38564'' E
P1108		0,079	ne				48° 53' 31.61'' N	14° 38' 12.46'' E
P1109	Borovany - Nová Ves u Č.Budějovic	194,304	Ano	III.	14618		48° 53' 34.35505'' N	14° 37' 53.96327'' E
P1110	Borovany - Nová Ves u Č.Budějovic	196,225	Ano	III.	15519	zastávka Trocnov	48° 54' 03.28877'' N	14° 36' 40.76842'' E
P1111	Borovany - Nová Ves u Č.Budějovic	199,618	Ano	O		"\""u muničáku\"""	48° 54' 53.92511'' N	14° 35' 11.34723'' E
P1112	Borovany - Nová Ves u Č.Budějovic	201,649	Ano	O		"\""u Beranů\"""	48° 55' 29.29826'' N	14° 34' 23.33414'' E
P1113	Borovany - Nová Ves u Č.Budějovic	202,119	Ano	O		"\""Zborov\"""	48° 55' 37.12931'' N	14° 34' 03.47977'' E
P1114	Borovany - Nová Ves u Č.Budějovic	203,258	Ano	MK		"\""u hnoje\"""	48° 55' 38.57649'' N	14° 33' 09.14266'' E
P1115	Borovany - Nová Ves u Č.Budějovic	203,898	Ano	O			48° 55' 31.95738'' N	14° 32' 39.71952'' E
P1116	žst. Nová Ves u Č.Budějovic	204,838	Ano	II.	156	před žst.N.Ves u Č.B.	48° 55' 21.65033'' N	14° 31' 57.97146'' E
P1117	žst. Nová Ves u Č.Budějovic	205,193	Ano	MK		žst.N.Ves u Č.B.	48° 55' 15.83157'' N	14° 31' 43.35868'' E
P1118	Nová Ves u Č.Budějovic - Č.Budějovice-stav.1	206,123	Ano	C			48° 55' 30.03215'' N	14° 31' 05.37405'' E
P1119	Nová Ves u Č.Budějovic - Č.Budějovice-stav.1	206,61	Ano	O		Nedabyle	48° 55' 33.87784'' N	14° 30' 42.71421'' E
P1120	Nová Ves u Č.Budějovic - Č.Budějovice-stav.1	207,514	Ano	O		"\""207\"""	48° 55' 28.84386'' N	14° 30' 00.52251'' E
P1121	Nová Ves u Č.Budějovic - Č.Budějovice-stav.1	208,87	Ano	O		Doubravice	48° 56' 08.75501'' N	14° 30' 06.18946'' E
P1122	Nová Ves u Č.Budějovic - Č.Budějovice-stav.1	210,009	Ano	III.	15523	"\""Vidovský\"""	48° 56' 44.16241'' N	14° 30' 09.36925'' E
P1123	Nová Ves u Č.Budějovic - Č.Budějovice-stav.1	210,701	Ano	C		Říční/Ke studánce,zast.N.Hoděj	48° 57' 04.93978'' N	14° 29' 56.63139'' E
P1124	Nová Ves u Č.Budějovic - Č.Budějovice-stav.1	211,209	Ano	II.	156		48° 57' 20.20913'' N	14° 29' 47.31466'' E
P1125	žst. Č.Budějovice-seř.n. - (kolej č. 102b, 906A, 906)	214,097	Ano	MK		"\""A\"" Sfinx"	48° 58' 50.05103'' N	14° 29' 11.65264'' E
P1126	žst. Č.Budějovice-seř.n. - (kolej č. 102b, 906A, 906)	214,275	Ano	B		"\""B\""u Křížku"	48° 58' 55.75380'' N	14° 29' 08.58219'' E
P1128	Č.Budějovice-obvod býv.stav.7 - Nemanice I.	216,168	Ano	C		"\""A\"" Motor"	48° 59' 54.05807'' N	14° 28' 40.08411'' E
P1128		216,168	ano				48° 59' 54.058'' N	14° 28' 40.084'' E
P1129	výh. Nemanice I.-buděj.zhlaví	216,726	Ano	B		"\""B\""mezi výh.1,2,3 -Nemanic.ul."	49° 00' 11.82990'' N	14° 28' 38.97136'' E
P1130	výh. Nemanice I.-buděj.zhlaví - výh. Nemanice II.	217,36	Ano	III.	10578	"\""F\"" Sokolovna"	49° 00' 31.79279'' N	14° 28' 37.15441'' E
P1131	Nemanice II. - Hluboká nad Vltavou	217,931	Ano	C		Nemanický	49° 01' 03.62811'' N	14° 27' 43.58910'' E
P1132	Nemanice II. - Hluboká nad Vltavou	220,954	Ano	O		U rozvodny	49° 01' 30.54627'' N	14° 25' 37.19555'' E
P1133	Hluboká nad Vltavou - Zliv	222,975	Ano	III.	10582	Bezdrevský	49° 02' 16.94918'' N	14° 24' 32.22435'' E
P1134	Hluboká nad Vltavou - Zliv	225,753	Ano	O		U 25	49° 03' 25.14190'' N	14° 23' 20.05643'' E
P1135	Hluboká nad Vltavou - Zliv	226,732	Ano	O		U Králičáku	49° 03' 43.55382'' N	14° 22' 41.67818'' E
P1136	Hluboká nad Vltavou - Zliv	227,548	Ano	O		U Levýho	49° 03' 42.04683'' N	14° 22' 02.06272'' E
P1137	Hluboká nad Vltavou - Zliv	227,845	Ano	III.	12229	Zliv hlavní	49° 03' 48.73957'' N	14° 21' 51.20515'' E
P1138	Zliv - Dívčice	230,28	Ano	O		U stožárů Blata	49° 04' 49.25417'' N	14° 20' 33.88560'' E
P1139	žst. Dívčice	234,266	Ano	II.		Dívčice hlavní	49° 06' 13.92169'' N	14° 18' 12.96129'' E
P1139		0,104	ano	II.			49° 6' 14.12801'' N	14° 18' 13.46255'' E
P1140	Dívčice - Číčenice	235,606	Ano	C		Dubenecký 1	49° 06' 50.23162'' N	14° 17' 36.83401'' E
P1141	Dívčice - Číčenice	235,838	Ano	III.	122311	Dubenecký 2	49° 06' 56.61405'' N	14° 17' 30.50042'' E
P1142	Dívčice - Číčenice	238,172	Ano	III.	14122	Záblatíčko	49° 07' 30.06124'' N	14° 15' 52.46193'' E
P1143	Dívčice - Číčenice	241,163	Ano	III.	12232	Strpí	49° 08' 21.29391'' N	14° 13' 48.01578'' E
P1144	žst. Číčenice	242,563	Ano	II.		Hlavní	49° 09' 02.18706'' N	14° 13' 22.08488'' E
P1145	Číčenice - Protivín	243,559	Ano	O			49° 09' 33.22409'' N	14° 13' 09.11663'' E
P1146	Číčenice - Protivín	245,067	Ano	C			49° 10' 20.96430'' N	14° 13' 13.90571'' E
P1147	Číčenice - Protivín	245,792	Ano	O			49° 10' 43.83004'' N	14° 13' 20.13107'' E
P1148	Číčenice - Protivín	247,813	Ano	III.	1415	U zastávky	49° 11' 48.29956'' N	14° 13' 21.29419'' E
P1149	Číčenice - Protivín	248,1	Ano	C		Ke hřbitovu	49° 11' 57.36885'' N	14° 13' 21.09855'' E
P1150	Protivín - Ražice	250,568	Ano	III.	1404	U Protivína	49° 12' 56.23070'' N	14° 12' 12.40633'' E
P1151	Protivín - Ražice	252,026	Ano	III.	1404	u Poláka	49° 13' 10.95025'' N	14° 11' 02.97396'' E
P1152	Protivín - Ražice	253,063	Ano	O		U skal 1	49° 13' 21.25719'' N	14° 10' 14.19263'' E
P1153	Protivín - Ražice	253,837	Ano	O		U Skal 2	49° 13' 28.96744'' N	14° 09' 37.69379'' E
P1154	Protivín - Ražice	255,03	Ano	C		U Benešovského mlýna	49° 13' 49.97214'' N	14° 08' 48.73869'' E
P1155	Protivín - Ražice	255,636	Ano	C		U hřiště	49° 14' 02.44154'' N	14° 08' 25.92837'' E
P1156	Protivín - Ražice	256,084	Ano	C		Zastávka	49° 14' 11.86041'' N	14° 08' 08.66659'' E
P1157	Ražice - Čejetice	258,615	Ano	II.	140	U Agrozetu	49° 14' 42.65451'' N	14° 06' 15.84473'' E
P1158	Ražice - Čejetice	260,34	Ano	III.	1406	Na vysoké	49° 14' 59.67632'' N	14° 04' 54.49051'' E
P1159	Ražice - Čejetice	261,015	Ano	O		U Kachňáku	49° 14' 59.83559'' N	14° 04' 21.09174'' E
P1160	Ražice - Čejetice	262,178	Ano	III.	1407	Sudoměř	49° 14' 57.78659'' N	14° 03' 23.69867'' E
P1161	Ražice - Čejetice	263,483	Ano	O		U Jakuba	49° 14' 58.13795'' N	14° 02' 19.18846'' E
P1162	Ražice - Čejetice	264,051	Ano	O		U Kalného	49° 15' 00.27158'' N	14° 01' 50.95065'' E
P1163	Ražice - Čejetice	264,493	Ano	III.	1409	Mladějovický	49° 15' 01.93686'' N	14° 01' 29.25784'' E
P1164	Ražice - Čejetice	264,895	Ano	O		K cihelně	49° 15' 03.99955'' N	14° 01' 09.72542'' E
P1165	Čejetice - Strakonice	265,768	Ano	O		U výkupu ZZN	49° 15' 09.27961'' N	14° 00' 27.30873'' E
P1166	Čejetice - Strakonice	266,89	Ano	III.	1407	Sedlíkovický	49° 15' 16.09392'' N	13° 59' 32.71224'' E
P1167	Čejetice - Strakonice	267,496	Ano	O		U kravína	49° 15' 19.77212'' N	13° 59' 03.27904'' E
P1168	Čejetice - Strakonice	268,158	Ano	MK		Modlešovický	49° 15' 23.78104'' N	13° 58' 31.12358'' E
P1169	Strakonice - Katovice	275,274	Ano	O		U panského	49° 15' 19.59193'' N	13° 52' 51.37480'' E
P1170	Strakonice - Katovice	277,622	Ano	III.	1725	Pracejovice	49° 15' 28.81100'' N	13° 50' 58.73996'' E
P1171	Strakonice - Katovice	279,131	Ano	III.	1722	U Pechy	49° 15' 52.62005'' N	13° 49' 53.42146'' E
P1172	Katovice - Střelské Hoštice	280,298	Ano	O			49° 16' 19.85362'' N	13° 49' 15.51598'' E
P1173	Katovice - Střelské Hoštice	282,865	Ano	I.	22	Na Poříčí	49° 17' 19.86942'' N	13° 48' 02.72979'' E
P1174	Katovice - Střelské Hoštice	284,561	Ano	III.	2216		49° 18' 07.17885'' N	13° 47' 24.10083'' E
P1175	výh. Střelské Hoštice	285,541	Ano	III.	2215		49° 18' 20.32620'' N	13° 46' 39.93658'' E
P1176	Střelské Hoštice - Horažďovice předměstí	285,802	Ano	O			49° 18' 25.80690'' N	13° 46' 30.20436'' E
P1178	Horažďovice předměstí - Pačejov	293,204	Ano	II.	188	U zastávky Velký Bor	49° 20' 45.37522'' N	13° 42' 00.61962'' E
P1179	Pačejov - Nepomuk	304,09	Ano	O		Kovčín-rybník	49° 24' 50.21138'' N	13° 36' 44.74834'' E
P1180	Pačejov - Nepomuk	304,77	Ano	III.	18614	Kovčín - Nekvasovy	49° 25' 09.83636'' N	13° 36' 33.50537'' E
P1181	Pačejov - Nepomuk	306,247	Ano	O		u hradla Vráž	49° 25' 57.50290'' N	13° 36' 34.03040'' E
P1182	žst. Nepomuk	313,375	Ano	III.	19115	U stavědla č.1	49° 29' 35.97470'' N	13° 36' 36.01871'' E
P1182	Kotouň - Nepomuk	24,208	Ano	III.	19115	U stavědla č.1	49° 29' 35.97470'' N	13° 36' 36.01871'' E
P1183	žst. Nepomuk	314,191	Ano	II.	191	U stavědla č.2	49° 30' 02.20647'' N	13° 36' 28.77515'' E
P1184	Nepomuk - Ždírec u Plzně	317,232	Ano	III.	11745	U zastávky Srby	49° 31' 27.64733'' N	13° 35' 30.59955'' E
P1185	Nepomuk - Ždírec u Plzně	317,763	Ano	C		Do chatové osady	49° 31' 44.61145'' N	13° 35' 26.66840'' E
P1186	Nepomuk - Ždírec u Plzně	319,916	Ano	C		Myť - pole	49° 32' 47.95133'' N	13° 34' 49.33606'' E
P1187	žst. Ždírec u Plzně	320,121	Ano	MK		přechod pro pěší	49° 32' 52.05548'' N	13° 34' 40.69995'' E
P1188	Ždírec u Plzně - Blovice	322,522	Ano	O		Stará Huť - pole	49° 33' 41.06182'' N	13° 33' 12.18273'' E
P1189	Ždírec u Plzně - Blovice	323,278	Ano	C		Vlčice v obci	49° 33' 57.90244'' N	13° 32' 44.76301'' E
P1190	Ždírec u Plzně - Blovice	324,205	Ano	C		Blovice U SILA	49° 34' 18.58715'' N	13° 32' 11.11819'' E
P1191	Ždírec u Plzně - Blovice	325,043	Ano	II.	117	státní u stavědla č. 1	49° 34' 42.37022'' N	13° 31' 53.51299'' E
P1192	Blovice - Nezvěstice	327,56	Ano	O		pole - chatky	49° 35' 57.81247'' N	13° 31' 25.25532'' E
P1193	Blovice - Nezvěstice	328,577	Ano	III.	1779	U zastávky Zdemyslice	49° 36' 24.89437'' N	13° 31' 00.52619'' E
P1194	Blovice - Nezvěstice	329,051	Ano	O		konec obce-pole	49° 36' 39.99264'' N	13° 30' 59.61127'' E
P1195	Blovice - Nezvěstice	330,454	Ano	O		pole - pole	49° 37' 25.08397'' N	13° 31' 01.49746'' E
P1196	Blovice - Nezvěstice	331,019	Ano	O		Nezvěstice-pole	49° 37' 43.10654'' N	13° 30' 56.32960'' E
P1197	Blovice - Nezvěstice	331,469	Ano	O		Nezvěstice chatky - pole	49° 37' 57.39330'' N	13° 30' 52.12405'' E
P1198	Nezvěstice - Starý Plzenec	334,234	Ano	III.	1773	U napáječky	49° 39' 23.31495'' N	13° 30' 48.10631'' E
P1199	Nezvěstice - Starý Plzenec	335,587	Ano	MK		zámecká cesta na Kozel	49° 40' 03.08185'' N	13° 30' 19.85362'' E
P1200	Nezvěstice - Starý Plzenec	336,111	Ano	II.	183	státní silnice	49° 40' 17.02969'' N	13° 30' 05.78423'' E
P1201	Nezvěstice - Starý Plzenec	337,032	Ano	MK		U hřbitova	49° 40' 42.06737'' N	13° 29' 40.57013'' E
P1202	Nezvěstice - Starý Plzenec	338,774	Ano	C		U TSS	49° 41' 32.63917'' N	13° 29' 02.97194'' E
P1203	Starý Plzenec - Plzeň-Koterov	339,658	Ano	III.	18026	na Radyňskou ul.	49° 41' 44.95601'' N	13° 28' 26.50791'' E
P1204	Starý Plzenec - Plzeň-Koterov	340,777	Ano	O		polní	49° 41' 54.35362'' N	13° 27' 32.59826'' E
P1205	Starý Plzenec - Plzeň-Koterov	344,39	Ano	MK		Plzeň-Bručna	49° 42' 54.35930'' N	13° 25' 03.19079'' E
P1207	Rokycany - KOVOHUTĚ	0,348	Ne	III.	11732	U stavebnin Šabata	49° 44' 09.88619'' N	13° 36' 07.28610'' E
P1208	Rokycany - KOVOHUTĚ	0,895	Ne	III.	11732	U zastávky Rokycany předměstí	49° 43' 53.07904'' N	13° 36' 12.86055'' E
P1209	odb.vl. KOVOHUTĚ	1,014	Ne	III.	11732	Rokycany - Veselá	49° 43' 49.33567'' N	13° 36' 14.42646'' E
P1210	KOVOHUTĚ - AGRO BLATNÁ	1,824	Ne	C		Kamenný Újezd - pole	49° 43' 30.10941'' N	13° 36' 41.75630'' E
P1211	KOVOHUTĚ - AGRO BLATNÁ	2,344	Ne	C		U zastávky Kamenný Újezd u R.	49° 43' 20.46453'' N	13° 37' 03.24998'' E
P1212	odb.vl. AGRO BLATNÁ	2,671	Ne	C		u AGRA	49° 43' 14.47415'' N	13° 37' 16.48431'' E
P1213	AGRO BLATNÁ - ŽELEZÁRNY HRÁDEK	3,107	Ne	O		Za AGREM	49° 43' 07.60689'' N	13° 37' 35.57132'' E
P1214	AGRO BLATNÁ - ŽELEZÁRNY HRÁDEK	3,9	Ne	III.	11724	zastávka Nová Huť	49° 43' 01.93302'' N	13° 38' 14.21820'' E
P1215	ŽELEZÁRNY HRÁDEK - Mirošov	4,37	Ne	MK		přechod do hutí	49° 42' 58.05069'' N	13° 38' 36.80747'' E
P1216	ŽELEZÁRNY HRÁDEK - Mirošov	4,736	Ne	O		nad železárnami	49° 42' 54.89294'' N	13° 38' 54.68795'' E
P1217	ŽELEZÁRNY HRÁDEK - Mirošov	5,01	Ne	C		U zahradníka - Na ovčíně	49° 42' 51.70260'' N	13° 39' 07.12482'' E
P1218	ŽELEZÁRNY HRÁDEK - Mirošov	5,179	Ne	III.	11728	U zastávky Hrádek u Rokycan	49° 42' 48.20387'' N	13° 39' 13.62637'' E
P1219	ŽELEZÁRNY HRÁDEK - Mirošov	5,214	Ne	C		ulice Polní	49° 42' 47.61321'' N	13° 39' 14.97239'' E
P1220	ŽELEZÁRNY HRÁDEK - Mirošov	5,418	Ne	C		Hrádek - zahrádky	49° 42' 45.09016'' N	13° 39' 24.48046'' E
P1221	ŽELEZÁRNY HRÁDEK - Mirošov	6,266	Ne	O		pole - louka	49° 42' 34.66947'' N	13° 40' 03.54313'' E
P1222	ŽELEZÁRNY HRÁDEK - Mirošov	6,901	Ne	C		u čističky	49° 42' 16.73594'' N	13° 40' 10.00380'' E
P1223	žst. Mirošov	7,104	Ne	C		Nádraží Mirošov	49° 42' 11.02427'' N	13° 40' 04.69678'' E
P1224	Mirošov - ROSSO STELL MIROŠOV	8,121	Ne	O		U vjezdového náv. od Nezvěstic	49° 41' 50.69244'' N	13° 39' 51.27248'' E
P1225	Mirošov - ROSSO STELL MIROŠOV	8,917	Ne	II.	117	U zastávky Mirošov město	49° 41' 25.21694'' N	13° 39' 46.99392'' E
P1226	Mirošov - ROSSO STELL MIROŠOV	9,01	Ne	MK		přechod u zastávky Mirošov	49° 41' 22.30908'' N	13° 39' 46.69873'' E
P1227	ROSSO STELL MIROŠOV - Příkosice	9,692	Ne	III.	1783	u vlečky STELL Rosso	49° 41' 02.43702'' N	13° 39' 42.50529'' E
P1228	ROSSO STELL MIROŠOV - Příkosice	11,398	Ne	III.	1783	U zastávky Příkosice zastávka	49° 40' 14.91279'' N	13° 39' 54.65112'' E
P1229	ROSSO STELL MIROŠOV - Příkosice	11,718	Ne	III.	1783	Příkosice - na Štitov	49° 40' 05.73937'' N	13° 39' 56.23762'' E
P1230	ROSSO STELL MIROŠOV - Příkosice	12,06	Ne	O		v polích	49° 39' 56.79754'' N	13° 39' 47.28518'' E
P1231	ROSSO STELL MIROŠOV - Příkosice	12,51	Ne	O		u statku	49° 39' 50.56515'' N	13° 39' 28.38966'' E
P1232	ROSSO STELL MIROŠOV - Příkosice	12,706	Ne	III.	11740	před nádražím	49° 39' 48.37898'' N	13° 39' 19.25953'' E
P1233	Příkosice - Lipnice	13,278	Ne	III.	11734	za zastávkou	49° 39' 44.33225'' N	13° 38' 51.80105'' E
P1234	Příkosice - Lipnice	13,596	Ne	V		ze státní do pole	49° 39' 37.15125'' N	13° 38' 40.08145'' E
P1235	Příkosice - Lipnice	13,917	Ne	O		z 11734 na louky - pole	49° 39' 35.18784'' N	13° 38' 25.45730'' E
P1236	Příkosice - Lipnice	14,22	Ne	D		u lesa	49° 39' 38.64959'' N	13° 38' 11.10624'' E
P1237	Příkosice - Lipnice	14,464	Ne	III.	11734	státní Příkosice - Mešno	49° 39' 40.67385'' N	13° 37' 59.50281'' E
P1239	Příkosice - Lipnice	15,05	Ne	III.	11734	státní pod Mešnem	49° 39' 34.22174'' N	13° 37' 32.94929'' E
P1240	Příkosice - Lipnice	15,538	Ne	O		u zastávky Mešno	49° 39' 19.76937'' N	13° 37' 23.90451'' E
P1241	Příkosice - Lipnice	16,323	Ne	O		K hájovně	49° 38' 55.74709'' N	13° 37' 18.10861'' E
P1242	Příkosice - Lipnice	17,208	Ne	MK		zahrádky v Lipnici	49° 38' 39.11644'' N	13° 36' 45.47615'' E
P1243	Lipnice - Nezvěstice	17,454	Ne	II.	117	státní u zastávky Lipnice	49° 38' 41.76094'' N	13° 36' 33.88433'' E
P1244	Lipnice - Nezvěstice	17,567	Ne	C		Lipnice MK	49° 38' 42.95457'' N	13° 36' 28.62169'' E
P1245	Lipnice - Nezvěstice	18,502	Ne	O		Z Lipnice do Kornatic	49° 38' 55.75936'' N	13° 35' 47.38389'' E
P1246	Lipnice - Nezvěstice	19,481	Ne	III.	11731	u zastávky Kornatice	49° 39' 20.29064'' N	13° 35' 18.46987'' E
P1247	Lipnice - Nezvěstice	20,075	Ne	O		u chatek	49° 39' 34.79744'' N	13° 34' 59.61323'' E
P1248	Lipnice - Nezvěstice	20,517	Ne	III.	1773	kornatický les	49° 39' 41.22704'' N	13° 34' 40.49109'' E
P1249	Lipnice - Nezvěstice	21,176	Ne	1L		v lese do chat	49° 39' 51.29051'' N	13° 34' 12.26315'' E
P1250	Lipnice - Nezvěstice	21,804	Ne	4L		u rybníka zamčený	49° 39' 45.93133'' N	13° 33' 42.28509'' E
P1251	Lipnice - Nezvěstice	22,388	Ne	III.	1773		49° 39' 37.32039'' N	13° 33' 17.94760'' E
P1252	Lipnice - Nezvěstice	22,787	Ne	4L		v lese zamčený	49° 39' 41.15069'' N	13° 32' 59.06597'' E
P1253	Lipnice - Nezvěstice	23,338	Ne	3L			49° 39' 33.21579'' N	13° 32' 34.97828'' E
P1254	Lipnice - Nezvěstice	23,481	Ne	III.	1773		49° 39' 30.85972'' N	13° 32' 28.91641'' E
P1255	Lipnice - Nezvěstice	23,925	Ne	MK		u zastávky Šťáhlavice	49° 39' 24.30494'' N	13° 32' 09.95788'' E
P1256	Lipnice - Nezvěstice	23,997	Ne	III.	1773	státní nad Šťáhlavicemi	49° 39' 22.01480'' N	13° 32' 08.62050'' E
P1257	Lipnice - Nezvěstice	24,542	Ne	V		u řeky	49° 39' 06.48651'' N	13° 31' 58.03479'' E
P1258	Lipnice - Nezvěstice	25,509	Ne	O			49° 38' 39.68290'' N	13° 31' 51.66430'' E
P1259	Lipnice - Nezvěstice	25,686	Ne	O		Nezvěstice pole / pole	49° 38' 39.64422'' N	13° 31' 42.85243'' E
P1260	Lipnice - Nezvěstice	26,27	Ne	O		za nádražím pole - pole	49° 38' 46.49740'' N	13° 31' 18.08442'' E
P1261	Lipnice - Nezvěstice	26,491	Ne	O		u stavědla 2 žst. Nezvěstice	49° 38' 45.24483'' N	13° 31' 08.24171'' E
P1262	Blatná - Lnáře	1,352	Ne	O		Řečice	49° 25' 44.66170'' N	13° 51' 22.31721'' E
P1263	Blatná - Lnáře	2,247	Ne	O			49° 25' 53.21107'' N	13° 50' 41.04265'' E
P1264	Blatná - Lnáře	2,571	Ne	O			49° 25' 55.09792'' N	13° 50' 25.07405'' E
P1265	Blatná - Lnáře	2,936	Ne	O		Řečice konec náspu	49° 26' 04.49248'' N	13° 50' 14.80239'' E
P1266	Blatná - Lnáře	3,222	Ne	O		Řečice rovná	49° 26' 06.75767'' N	13° 50' 01.10524'' E
P1267	Blatná - Lnáře	3,829	Ne	O		Tchořovice u mlýna	49° 26' 12.80424'' N	13° 49' 32.46773'' E
P1268	Blatná - Lnáře	4,313	Ne	O		Tchořovice	49° 26' 18.86603'' N	13° 49' 10.54633'' E
P1269	Blatná - Lnáře	5,089	Ne	I.	20	Tchořovice hlavní	49° 26' 20.40157'' N	13° 48' 33.38222'' E
P1270	Blatná - Lnáře	5,293	Ne	O			49° 26' 24.19402'' N	13° 48' 25.10892'' E
P1271	Blatná - Lnáře	5,744	Ne	O			49° 26' 27.78661'' N	13° 48' 04.08719'' E
P1272	Lnáře - Kasejovice	6,698	Ne	II.		Lnáře dopravna	49° 26' 38.30903'' N	13° 47' 21.39253'' E
P1273	Lnáře - Kasejovice	7,354	Ne	O		U Hradiště	49° 26' 47.95130'' N	13° 46' 52.48702'' E
P1274	Lnáře - Kasejovice	7,657	Ne	O		Hradiště	49° 26' 56.79138'' N	13° 46' 46.38860'' E
P1275	Lnáře - Kasejovice	8,143	Ne	O		zastávka Hradiště	49° 26' 59.16095'' N	13° 46' 23.22590'' E
P1276	Lnáře - Kasejovice	9,168	Ne	O			49° 27' 11.94995'' N	13° 45' 39.35330'' E
P1277	Lnáře - Kasejovice	10,336	Ne	O			49° 27' 17.65846'' N	13° 44' 50.59315'' E
P1278	Kasejovice - Kotouň	10,874	Ne	III.	2015		49° 27' 30.99590'' N	13° 44' 35.09241'' E
P1279	Kasejovice - Kotouň	11,027	Ne	MK			49° 27' 35.51190'' N	13° 44' 32.36858'' E
P1280	Kasejovice - Kotouň	11,306	Ne	O			49° 27' 39.46763'' N	13° 44' 20.03317'' E
P1281	Kasejovice - Kotouň	11,474	Ne	O			49° 27' 40.82950'' N	13° 44' 12.04647'' E
P1282	Kasejovice - Kotouň	11,757	Ne	III.	1882		49° 27' 40.16642'' N	13° 43' 58.29196'' E
P1283	Kasejovice - Kotouň	12,411	Ne	O			49° 27' 45.90141'' N	13° 43' 26.98096'' E
P1284	Kasejovice - Kotouň	13,236	Ne	O			49° 27' 46.28969'' N	13° 42' 48.39139'' E
P1285	Kasejovice - Kotouň	13,927	Ne	O			49° 27' 44.57696'' N	13° 42' 15.89822'' E
P1286	Kasejovice - Kotouň	14,983	Ne	O			49° 27' 48.46866'' N	13° 41' 29.23532'' E
P1288	Kasejovice - Kotouň	16,105	Ne	O			49° 27' 22.64768'' N	13° 40' 56.88107'' E
P1289	Kasejovice - Kotouň	16,722	Ne	O			49° 27' 32.96434'' N	13° 40' 31.15166'' E
P1290	Kasejovice - Kotouň	17,458	Ne	II.	188	Kotouň hlavní	49° 27' 43.53630'' N	13° 40' 01.29455'' E
P1291	Kotouň - Nepomuk	17,949	Ne	O			49° 27' 55.99826'' N	13° 39' 45.96585'' E
P1292	Kotouň - Nepomuk	18,132	Ne	O			49° 28' 01.08416'' N	13° 39' 41.69860'' E
P1293	Kotouň - Nepomuk	18,321	Ne	O			49° 28' 06.68579'' N	13° 39' 38.36841'' E
P1294	Kotouň - Nepomuk	18,494	Ne	O			49° 28' 09.66568'' N	13° 39' 31.26491'' E
P1295	Kotouň - Nepomuk	18,913	Ne	O			49° 28' 11.28255'' N	13° 39' 10.71268'' E
P1296	Kotouň - Nepomuk	19,769	Ne	O			49° 28' 10.96956'' N	13° 38' 28.15346'' E
P1297	Kotouň - Nepomuk	20,017	Ne	O			49° 28' 07.97557'' N	13° 38' 17.48642'' E
